ID	YEAR	TITLE	SUBTITLE	DIGITAL-TITLE	URL	URN	MEDIUM	CRITICAL-TITLE	ORIG-TITLE	AUTHOR	VIAF	AUTHOR-URL	TRASLATOR	TRANSLATOR-URL	WORDS	INCIPIT
Schmid_LeseniKriz1832	1832	Leseni križ (1832) [PriLit]		Christoph von Schmid. Leseni križ		URN:NBN:SI:doc-ALXT7DHZ	print		Christoph Schmid: Pomoč v sili ali Leseni križ in Sreča dobriga uka. Dve povesti iz pisem Kristofa Šmida. Ljubljana, 1832. Str. 4-30.	Christoph von Schmid (1768-1854)	7524803	https://www.deutsche-biographie.de/sfz78606.html#ndbcontent	Jožef Burger (1800-1870)	https://www.slovenska-biografija.si/oseba/sbi153908/	6392	POMOČ V SILI ALI LESENI KRIŽ IN SREČA DOBRIGA UKA. Dve povesti iz pisem Krištofa Šmida....
Schmid_Martin1836	1836	Martin mladi pušavnik (1836) [PriLit]	Zala perpoved za otroke, iz pisem Krištofa Šmida	Christoph von Schmid. Martin mladi pušavnik		URN:NBN:SI:doc-DIFAHMTW	print		Christoph Schmid: Martin mladi pušavnik. Dober dar za mlade ljudi. Iz pisem Krištofa Šmida 1. V Celovci, 1836.	Christoph von Schmid (1768-1854)	7524803	https://www.deutsche-biographie.de/sfz78606.html#ndbcontent	Felicijan Globočnik (1810-1873)	https://www.slovenska-biografija.si/oseba/sbi202483/	18712	MARTIN MLADI PUŠAVNIK. Zala perpoved za otroke, iz pisem Krištofa Šmida. Posloven...
Schmid_SrecaDobrigaUka1832	1832	Sreča dobriga uka (1832) [PriLit]		Christoph von Schmid. Sreča dobriga uka		URN:NBN:SI:doc-ALXT7DHZ	print		Christoph Schmid: Pomoč v sili ali Leseni križ in Sreča dobriga uka. Dve povesti iz pisem Kristofa Šmida. Ljubljana, 1832. Str. 31-48.	Christoph von Schmid (1768-1854)	7524803	https://www.deutsche-biographie.de/sfz78606.html#ndbcontent	Jožef Burger (1800-1870)	https://www.slovenska-biografija.si/oseba/sbi153908/	3360	POMOČ V SILI ALI LESENI KRIŽ IN SREČA DOBRIGA UKA. Dve povesti iz pisem Krištofa Šmida....
Schmid_SvetiVecer1866	1866	Sveti večer (1866) [PriLit]	Povest v božični dar pridnim otrokom	Christoph von Schmid. Sveti večer		URN:NBN:SI:DOC-YK775YOP	print		Christoph Schmid: Sveti večer. Povest v božični dar pridnim otrokom. V Celovcu, 1866.	Christoph von Schmid (1768-1854)	7524803	https://www.deutsche-biographie.de/sfz78606.html#ndbcontent	Janez Bilc (1839-1906)	https://www.slovenska-biografija.si/oseba/sbi142316/	17298	SVETI VEČER. Povest v božični dar pridnim otrokom. Spisal Krištof Šmid. Pos...
Skalar_Eksemplar1643	1643	Eksemplar od svetiga Bonaventura (1643) [PriLit]	Človeku naprej postavlen, koku se ima eden spet z Bogam združiti skuzi pokuro, ker se je od njega skuzi greh odločil. V enim zgovorjanju mej človekam inu dušico. Breuiloquium	Bonaventura. Eksemplar od svetiga Bonaventura	http://ezb.ijs.si/fedora/get/nrss:nrss_ms_040_02/VIEW/		manuscript	Skalarjev rokopis 1643. Editio princeps - znanstvenokritična izdaja. Uredila Monika Deželak Trojar. Celje: Celjska Mohorjeva družba: Društvo Mohorjeva družba; Ljubljana: Inštitut za slovensko literaturo in literarne vede ZRC SAZU, 2011. Str. 393-799.	Register slovenskih rokopisov 17. in 18. stoletja. Ms 040_02. Exemplar Od Suetiga Bonauentura Zhloueku naprei postaulena Koku ſe ima eden spet s'Bogam sdrushiti skusi pokuro ker se ie od niega skusi greh odlozhil.	Bonaventura (~1217-1274)	89657091	https://www.deutsche-biographie.de/pnd118513176.html#indexcontent_Bio	Adam Skalar (?-1658)	https://www.slovenska-biografija.si/oseba/sbi572952/	36585	EKSEMPLAR OD SVETIGA BONAVENTURA, ČLOVEKU NAPREJ POSTAVLEN, KOKU SE IMA EDEN SPET Z BOGAM ZDR...
Skalar_SulaTigaPremisluvana1643	1643	Šula tiga premišluvana (1643) [PriLit]		Johannes Wolf. Šula tiga premišluvana	http://ezb.ijs.si/fedora/get/nrss:nrss_ms_040_01/VIEW/		manuscript	Skalarjev rokopis 1643. Editio princeps - znanstvenokritična izdaja. Uredila Monika Deželak Trojar. Celje: Celjska Mohorjeva družba: Društvo Mohorjeva družba; Ljubljana: Inštitut za slovensko literaturo in literarne vede ZRC SAZU, 2011. Str. 9-392.	Register slovenskih rokopisov 17. in 18. stoletja. Ms 040_01. Shulla tiga premishluuana sloshena skusi brata Ioannesa Wolfa reformiraniga Franciscarneria is pouella tiga visoku zhastitiga Firsta inu Gospuda, Gospuda Wilhelma skoffa v' Prisxni.	Johannes Wolf (1521-1572)	5804515	https://www.deutsche-biographie.de/sfz86031.html#adbcontent	Adam Skalar (?-1658)	https://www.slovenska-biografija.si/oseba/sbi572952/	27271	ŠULA TIGA PREMIŠLUVANA, ZLOŽENA SKUZI BRATA JOANESA WOLFA, REFORMIRANIGA FRANCISKARNERJA, IZ...
Skalar_VsakdanjeSpomislane1643	1643	Vsakdanje spomišlane vernih kršanskih dušic, stuprav andoktlivih ludi (1643) [PriLit]		Vsakdanje spomišlane vernih kršanskih dušic, stuprav andoktlivih ludi	http://ezb.ijs.si/fedora/get/nrss:nrss_ms_040_03/VIEW/		manuscript	Skalarjev rokopis 1643. Editio princeps - znanstvenokritična izdaja. Uredila Monika Deželak Trojar. Celje: Celjska Mohorjeva družba: Društvo Mohorjeva družba; Ljubljana: Inštitut za slovensko literaturo in literarne vede ZRC SAZU, 2011. Str. 801-804.	Register slovenskih rokopisov 17. in 18. stoletja. Ms 040_03. Vsakdanie Spomishlane vernih karshanskich Dushiz, stuprau Andoctliuich Ludi.				?Adam Skalar (?-1658)	https://www.slovenska-biografija.si/oseba/sbi572952/	349	VSAKDANJE SPOMIŠLANE VERNIH KRŠANSKIH DUŠIC, STUPRAV ANDOKTLIVIH LUDI V nedelo spomišlu...
Skalar_VselajInuNikoli1843	1643	Vselaj inu nikoli, to je večnost (1643) [PriLit]		Adam Skalar. Vselaj inu nikoli, to je večnost	http://ezb.ijs.si/fedora/get/nrss:nrss_ms_040_04/VIEW/		manuscript	Skalarjev rokopis 1643. Editio princeps - znanstvenokritična izdaja. Uredila Monika Deželak Trojar. Celje: Celjska Mohorjeva družba: Društvo Mohorjeva družba; Ljubljana: Inštitut za slovensko literaturo in literarne vede ZRC SAZU, 2011. Str. 805-888.	Register slovenskih rokopisov 17. in 18. stoletja. Ms 040_04. Vselai, inu Nikoli, to ie Vezhnost.	Adam Skalar (?-1658)	304515044	https://www.slovenska-biografija.si/oseba/sbi572952/			6100	VSELAJ INU NIKOLI, TO JE VEČNOST Ta prvi del Od te prestrašne, večno trpeče pekle...
Svetokriski_DominicaIIIAdventus1707	1707	Dominica III. Adventus (1707) [PriLit]		Janez Svetokriški. Dominica III. Adventus		URN:NBN:SI:DOC-CIV93RT4	print		Janez Svetokriški: Sacrum promptuarium singulis per totum annum dominicis praedicabile. Pars quinta. 1707. Str. 25-45.	Janez Svetokriški (1647-1714)	61726060	https://www.slovenska-biografija.si/oseba/sbi247826/			6357	DOMINICA III. ADVENTUS Quis es tu? Ego vox clamantis in deserto. Kdu si ti? Jest...
Svetokriski_NaDanSAgnes1696	1696	Na dan s. Agnes - divice inu martrnce (1696) [PriLit]		Janez Svetokriški. Na dan s. Agnes - divice inu martrnce		URN:NBN:SI:DOC-ZGFBKTD0	print		Janez Svetokriški: Sacrum promptuarium singulis per totum annum festis, quae tum ex praecepto, tum ex devotione celebrantur praedicabile. Pars tertia. 1696. Str. 112-124.	Janez Svetokriški (1647-1714)	61726060	https://www.slovenska-biografija.si/oseba/sbi247826/			3765	NA DAN S. AGNES − DIVICE INU MARTRNCE Gaudeamus, et exultemus, et demus gloriam ei; qui...
