author_id	forename	surname	gender	birth	nationality	
SnojJože	Jože	Snoj	moški	1934	Slovenija
SrčičMarjana	Marjana	Srčič	ženski		Slovenija
StepanovičMilan	Milan	Stepanovič	moški		Slovenija
StojkoTone	Tone	Stojko	moški	1947	Slovenija
StrehovecJanez	Janez	Strehovec	moški	1950	Slovenija
StvarnikMeta	Meta	Stvarnik	ženski	1950	Slovenija
SuhodolčanLeopold	Leopold	Suhodolčan	moški	1928	Slovenija
SvetinaIvo	Ivo	Svetina	moški	1948	Slovenija
TauferVeno	Veno	Taufer	moški	1933	Slovenija
TomšičJordan	Jordan	Tomšič	moški	1934	Slovenija
TratnikTone	Tone	Tratnik	moški		Slovenija
TutaIgor	Igor	Tuta	moški	1945	Slovenija
VakanjacMilenko	Milenko	Vakanjac	moški	1939	Slovenija
ValentinčičSlobodan	Slobodan	Valentinčič	moški		Slovenija
VarlVita	Vita	Varl	ženski		Slovenija
VegriSaša	Saša	Vegri	ženski	1934	Slovenija
VeselJanez	Janez	Vesel	moški	1798	Slovenija
VišnovecBoris	Boris	Višnovec	moški	1936	Slovenija
VogelHerman	Herman	Vogel	moški	1941	Slovenija
VolaričIvan	Ivan	Volarič	moški	1948	Slovenija
VugaSaša	Saša	Vuga	moški	1930	Slovenija
VukBoris	Boris	Vuk	moški		Slovenija
VurnikFrance	France	Vurnik	moški	1933	Slovenija
WienerTomo	Tomo	Wiener	moški		Slovenija
ZagoričnikFranci	Franci	Zagoričnik	moški	1933	Slovenija
ZagoričnikIfigenija	Ifigenija	Zagoričnik	ženski	1953	Slovenija
ZagoričnikOrest	Orest	Zagoričnik	moški	1960	Slovenija
ZagorskiCvetko	Cvetko	Zagorski	moški	1916	Slovenija
ZajcDane	Dane	Zajc	moški	1929	Slovenija
ZlobecJaša	Jaša	Zlobec	moški	1951	Slovenija
ZorkoVera	Vera	Zorko	ženski		Slovenija
ZornAleksander	Aleksander	Zorn	moški	1947	Slovenija
ZrimšekZdenka	Zdenka	Zrimšek	ženski		Slovenija
ZupančičMirko	Mirko	Zupančič	moški	1925	Slovenija
ZupančičNada	Nada	Zupančič	ženski		Slovenija
ČelofigaDanilo	Danilo	Čelofiga			Slovenija
ČermeljManca	Manca	Čermelj	ženski		Slovenija
ČudenJožef	Jožef	Čuden	moški	1896	Slovenija
ŠalamunAndraž	Andraž	Šalamun	moški	1947	Slovenija
ŠalamunTomaž	Tomaž	Šalamun	moški	1941	Slovenija
ŠeligoRudi	Rudi	Šeligo	moški	1935	Slovenija
ŠinkovecMitja	Mitja	Šinkovec	moški		Slovenija
ŠprajcBožo	Božo	Šprajc	moški	1947	Slovenija
ŠrotSašo	Sašo	Šrot	moški		Slovenija
ŠtancarMarijan	Marijan	Štancar	moški	1941	Slovenija
ŠtrajnDarko	Darko	Štrajn	moški	1949	Slovenija
ŠušterTone	Tone	Šušter	moški		Slovenija
ŠvabićMarko	Marko	Švabić	moški	1949	Slovenija
ŠvarcMladen	Mladen	Švarc	moški	1952	Slovenija
ŽagarPrimož	Primož	Žagar	moški	1940	Slovenija
ŽižekSlavoj	Slavoj	Žižek	moški	1949	Slovenija
ŽupanNiko	Niko	Župan	moški		Slovenija
