n	id	author_disp	title_disp	author_refs	title	subtitle	suptitle1	suptitle2	byline	editor	date_from	date_to	date_display	place	monograph	volnum	pages	text_type	modernism	visual	lang_type	nstd_level	foreign_lang	foreign_level	note	
46	maj68-0045	Žarko Petan (1929)	Prepovedane parole (1964) [maj68]	#PetanŽarko	Prepovedane parole						1964-02		februar 1964	Ljubljana	Problemi	II/14	270–271	proza	odsotna	odsotna	knjižni jezik	odsotna		odsotna	Aforizmi.
47	maj68-0046	Rudi Miškot (1922)	Pepel v vetru: Umakne se … (1964) [maj68]	#MiškotRudi	Umakne se …		Pepel v vetru				1964-03		marec 1964	Ljubljana	Problemi	II/15	273	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
48	maj68-0047	Rudi Miškot (1922)	Pepel v vetru: Volkovi (1964) [maj68]	#MiškotRudi	Volkovi		Pepel v vetru				1964-03		marec 1964	Ljubljana	Problemi	II/15	273–274	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
49	maj68-0048	Rudi Miškot (1922)	Pepel v vetru: Ogorek spomina (1964) [maj68]	#MiškotRudi	Ogorek spomina		Pepel v vetru				1964-03		marec 1964	Ljubljana	Problemi	II/15	275	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
50	maj68-0049	Rudi Miškot (1922)	Pepel v vetru: Vojak (1964) [maj68]	#MiškotRudi	Vojak		Pepel v vetru				1964-03		marec 1964	Ljubljana	Problemi	II/15	275–276	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
51	maj68-0050	Rudi Miškot (1922)	Pepel v vetru: Apokalipsa (1964) [maj68]	#MiškotRudi	Apokalipsa		Pepel v vetru				1964-03		marec 1964	Ljubljana	Problemi	II/15	276–277	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
52	maj68-0051	Rudi Miškot (1922)	Pepel v vetru: Prebujanje (1964) [maj68]	#MiškotRudi	Prebujanje		Pepel v vetru				1964-03		marec 1964	Ljubljana	Problemi	II/15	277	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
53	maj68-0052	Rudi Miškot (1922)	Pepel v vetru: Jesenska balada (1964) [maj68]	#MiškotRudi	Jesenska balada		Pepel v vetru				1964-03		marec 1964	Ljubljana	Problemi	II/15	277–278	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
54	maj68-0053	Doro Hvalica (1940)	Pesmi: Izpoved (1964) [maj68]	#HvalicaDoro	Izpoved		Pesmi				1964-03		marec 1964	Ljubljana	Problemi	II/15	278	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
55	maj68-0054	Doro Hvalica (1940)	Pesmi: Zorenje (1964) [maj68]	#HvalicaDoro	Zorenje		Pesmi				1964-03		marec 1964	Ljubljana	Problemi	II/15	279	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
56	maj68-0055	Doro Hvalica (1940)	Pesmi: Jutro lepega dne (1964) [maj68]	#HvalicaDoro	Jutro lepega dne		Pesmi				1964-03		marec 1964	Ljubljana	Problemi	II/15	280	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
57	maj68-0056	Doro Hvalica (1940)	Pesmi: Nedokončano (1964) [maj68]	#HvalicaDoro	Nedokončano		Pesmi				1964-03		marec 1964	Ljubljana	Problemi	II/15	280–281	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
58	maj68-0057	Doro Hvalica (1940)	Pesmi: Sence (1964) [maj68]	#HvalicaDoro	Sence		Pesmi				1964-03		marec 1964	Ljubljana	Problemi	II/15	281–282	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
59	maj68-0058	Doro Hvalica (1940)	Pesmi: Balada (1964) [maj68]	#HvalicaDoro	Balada		Pesmi				1964-03		marec 1964	Ljubljana	Problemi	II/15	282	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
60	maj68-0060	Barbara Brecelj (1941)	Slavnostni odhod (1964) [maj68]	#BreceljBarbara	Slavnostni odhod						1964-03		marec 1964	Ljubljana	Problemi	II/15	288–292	proza	odsotna	odsotna	knjižni jezik	odsotna		odsotna	
61	maj68-0061	Barbara Brecelj (1941)	Njegova vita nova (1964) [maj68]	#BreceljBarbara	Njegova vita nova						1964-03		marec 1964	Ljubljana	Problemi	II/15	292–296	proza	nizka	nizka	knjižni jezik	odsotna		odsotna	
62	maj68-0062	Vladimir Kavčič (1932)	Prijateljsko prepričevanje (1964) [maj68]	#KavčičVladimir	Prijateljsko prepričevanje						1964-03		marec 1964	Ljubljana	Problemi	II/15	304–329	proza	srednja	odsotna	knjižni jezik	odsotna		odsotna	Modernističnost se dogaja predvsem na vsebinski oz. pomenski ravni (dehumanizacija posameznika znotraj Ustanove, kafkovska grotesknost opisovanega sveta, tudi nadrealističnost – fantazijski, alogični svet, kjer se prostori in subjekti fluidno spreminjajo, prostor-čas sta izven stvarne logike).
63	maj68-0063	Ladislav Lesar (1939)	Lilijana (odlomek) (1964) [maj68]	#LesarLadislav	Lilijana (odlomek)						1964-03		marec 1964	Ljubljana	Problemi	II/15	342–351	proza	nizka	odsotna	knjižni jezik	odsotna		odsotna	
64	maj68-0066	Dane Debič (1927)	Balada o modri svetlobi (odlomek) (1964) [maj68]	#DebičDane	Balada o modri svetlobi (odlomek)						1964-04	1964-05	april–maj 1964	Ljubljana	Problemi	II/16–17	383–396	proza	srednja	odsotna	knjižni jezik	odsotna		odsotna	
65	maj68-0067	Miško Kranjec (1908)	Vse za devize (1964) [maj68]	#KranjecMiško	Vse za devize						1964-04	1964-05	april–maj 1964	Ljubljana	Problemi	II/16–17	402–409	proza	odsotna	odsotna	knjižni jezik	odsotna		odsotna	
66	maj68-0068	Rado Palir	Pesmi: Večeri (1964) [maj68]	#PalirRado	Večeri		Pesmi				1964-04	1964-05	april–maj 1964	Ljubljana	Problemi	II/16–17	410	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
67	maj68-0069	Rado Palir	Pesmi: Meditacija (1964) [maj68]	#PalirRado	Meditacija		Pesmi				1964-04	1964-05	april–maj 1964	Ljubljana	Problemi	II/16–17	410–411	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
68	maj68-0070	Rado Palir	Pesmi: Scherzo (1964) [maj68]	#PalirRado	Scherzo		Pesmi				1964-04	1964-05	april–maj 1964	Ljubljana	Problemi	II/16–17	411	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
69	maj68-0071	Rado Palir	Pesmi: Pred večerom (1964) [maj68]	#PalirRado	Pred večerom		Pesmi				1964-04	1964-05	april–maj 1964	Ljubljana	Problemi	II/16–17	411	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
70	maj68-0072	Rado Palir	Pesmi: Spominjala se boš (1964) [maj68]	#PalirRado	Spominjala se boš		Pesmi				1964-04	1964-05	april–maj 1964	Ljubljana	Problemi	II/16–17	412	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
71	maj68-0073	Vladimir Kavčič (1932)	Tišina (1964) [maj68]	#KavčičVladimir	Tišina						1964-04	1964-05	april–maj 1964	Ljubljana	Problemi	II/16–17	413–436	proza	srednja	odsotna	knjižni jezik	odsotna		odsotna	Modernističnost se dogaja predvsem na vsebinski oz. pomenski ravni (dehumanizacija posameznika znotraj Ustanove, kafkovska grotesknost opisovanega sveta, tudi nadrealističnost – fantazijski, alogični svet, kjer se prostori in subjekti fluidno spreminjajo, prostor-čas sta izven stvarne logike).
72	maj68-0091	Barbara Brecelj (1941)	Igra o pogrebu (1964) [maj68]	#BreceljBarbara	Igra o pogrebu						1964-08		avgust 1964	Ljubljana	Problemi	II/18–19	599–604	proza	nizka	odsotna	knjižni jezik	odsotna		odsotna	
73	maj68-0092	France Lakovič	Temna paleta (1964) [maj68]	#LakovičFrance	Temna paleta						1964-08		avgust 1964	Ljubljana	Problemi	II/18–19	604	poezija	odsotna	odsotna	knjižni jezik	odsotna		odsotna	
74	maj68-0093	France Lakovič	Biserna školjka (1964) [maj68]	#LakovičFrance	Biserna školjka						1964-08		avgust 1964	Ljubljana	Problemi	II/18–19	604	poezija	odsotna	odsotna	knjižni jezik	odsotna		odsotna	
75	maj68-0094	Andrej Capuder (1942)	Pesmi: Zgodba neke ljubezni (1964) [maj68]	#CapuderAndrej	Zgodba neke ljubezni		Pesmi				1964-08		avgust 1964	Ljubljana	Problemi	II/18–19	605	poezija	odsotna	nizka	knjižni jezik	odsotna		odsotna	
76	maj68-0095	Andrej Capuder (1942)	Pesmi: Labod (1964) [maj68]	#CapuderAndrej	Labod		Pesmi				1964-08		avgust 1964	Ljubljana	Problemi	II/18–19	606–607	poezija	nizka	srednja	knjižni jezik	odsotna		odsotna	
77	maj68-0096	Andrej Capuder (1942)	Pesmi: Iz geografije življenja (1964) [maj68]	#CapuderAndrej	Iz geografije življenja		Pesmi				1964-08		avgust 1964	Ljubljana	Problemi	II/18–19	607	poezija	nizka	nizka	knjižni jezik	odsotna		odsotna	
78	maj68-0097	Rudi Miškot (1922)	Sončnica in zmaj: Zmaj (1964) [maj68]	#MiškotRudi	Zmaj		Sončnica in zmaj				1964-08		avgust 1964	Ljubljana	Problemi	II/18–19	608	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
79	maj68-0098	Rudi Miškot (1922)	Sončnica in zmaj: Talisman (1964) [maj68]	#MiškotRudi	Talisman		Sončnica in zmaj				1964-08		avgust 1964	Ljubljana	Problemi	II/18–19	609–610	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
80	maj68-0099	Rudi Miškot (1922)	Sončnica in zmaj: Sončna roža (1964) [maj68]	#MiškotRudi	Sončna roža		Sončnica in zmaj				1964-08		avgust 1964	Ljubljana	Problemi	II/18–19	610	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
81	maj68-0100	Rudi Miškot (1922)	Sončnica in zmaj: Dan (1964) [maj68]	#MiškotRudi	Dan		Sončnica in zmaj				1964-08		avgust 1964	Ljubljana	Problemi	II/18–19	611	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
82	maj68-0101	Rudi Miškot (1922)	Sončnica in zmaj: Prepletanje (1964) [maj68]	#MiškotRudi	Prepletanje		Sončnica in zmaj				1964-08		avgust 1964	Ljubljana	Problemi	II/18–19	611	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
83	maj68-0102	Rudi Miškot (1922)	Sončnica in zmaj: Zemlja in človek (1964) [maj68]	#MiškotRudi	Zemlja in človek		Sončnica in zmaj				1964-08		avgust 1964	Ljubljana	Problemi	II/18–19	612	poezija	srednja	nizka	knjižni jezik	odsotna		odsotna	
84	maj68-0104	Saša Vuga (1930)	Bernardek / Tragična komedija (1964) [maj68]	#VugaSaša	Bernardek	Tragična komedija					1964-08		avgust 1964	Ljubljana	Problemi	II/18–19	642–664	drama	nizka	odsotna	splošni pogovorni jezik	srednja		odsotna	1. nagrada RTVL za leto 1962.
85	maj68-0105	Vladimir Kavčič (1932)	Na službenem obisku (1964) [maj68]	#KavčičVladimir	Na službenem obisku						1964-08		avgust 1964	Ljubljana	Problemi	II/18–19	664–686	proza	srednja	odsotna	knjižni jezik	odsotna		odsotna	Modernističnost se dogaja predvsem na vsebinski oz. pomenski ravni (dehumanizacija posameznika znotraj Ustanove, kafkovska grotesknost opisovanega sveta, tudi nadrealističnost – fantazijski, alogični svet, kjer se prostori in subjekti fluidno spreminjajo, prostor-čas sta izven stvarne logike).
86	maj68-0117	Vladimir Kavčič (1932)	Tavanje (1964) [maj68]	#KavčičVladimir	Tavanje						1964-10		oktober 1964	Ljubljana	Problemi	II/20–21	732–752	proza	srednja	odsotna	knjižni jezik	odsotna		odsotna	Modernističnost se dogaja predvsem na vsebinski oz. pomenski ravni (dehumanizacija posameznika znotraj Ustanove, kafkovska grotesknost opisovanega sveta, tudi nadrealističnost – fantazijski, alogični svet, kjer se prostori in subjekti fluidno spreminjajo, prostor-čas sta izven stvarne logike).
87	maj68-0118	Viktor Konjar (1935)	Monologi: Poraz (1964) [maj68]	#KonjarViktor	Poraz		Monologi				1964-10		oktober 1964	Ljubljana	Problemi	II/20–21	752	poezija	odsotna	odsotna	knjižni jezik	odsotna		odsotna	
88	maj68-0119	Viktor Konjar (1935)	Monologi: Nemoč (1964) [maj68]	#KonjarViktor	Nemoč		Monologi				1964-10		oktober 1964	Ljubljana	Problemi	II/20–21	752–753	poezija	odsotna	odsotna	knjižni jezik	odsotna		odsotna	
89	maj68-0120	Viktor Konjar (1935)	Monologi: Molk (1964) [maj68]	#KonjarViktor	Molk		Monologi				1964-10		oktober 1964	Ljubljana	Problemi	II/20–21	753	poezija	odsotna	odsotna	knjižni jezik	odsotna		odsotna	
90	maj68-0121	Viktor Konjar (1935)	Monologi: Beg (1964) [maj68]	#KonjarViktor	Beg		Monologi				1964-10		oktober 1964	Ljubljana	Problemi	II/20–21	753–754	poezija	odsotna	odsotna	knjižni jezik	odsotna		odsotna	
91	maj68-0122	Viktor Konjar (1935)	Monologi: Strah (1964) [maj68]	#KonjarViktor	Strah		Monologi				1964-10		oktober 1964	Ljubljana	Problemi	II/20–21	754	poezija	odsotna	odsotna	knjižni jezik	odsotna		odsotna	
92	maj68-0123	Viktor Konjar (1935)	Monologi: Vrnitev (1964) [maj68]	#KonjarViktor	Vrnitev		Monologi				1964-10		oktober 1964	Ljubljana	Problemi	II/20–21	754	poezija	odsotna	odsotna	knjižni jezik	odsotna		odsotna	
93	maj68-0124	Matjaž Kmecl (1934)	Za naš skupni socializem: zadeva za vse občane / Agitka (1964) [maj68]	#KmeclMatjaž	Za naš skupni socializem: zadeva za vse občane	Agitka					1964-10		oktober 1964	Ljubljana	Problemi	II/20–21	830–851	drama	odsotna	odsotna	mladostniški sleng	srednja		odsotna	Odkupljena na natečaju za radijske igre pri RTV Ljubljana 1964.
94	maj68-0128	Tomaž Šalamun (1941)	Gobice (1964) [maj68]	#ŠalamunTomaž	Gobice						1964-11		november 1964	Ljubljana	Problemi	II/22	970–973	poezija	visoka	srednja	knjižni jezik	odsotna	angleščina;francoščina	nizka	
95	maj68-0129	Andrej Capuder (1942)	Pesmi: Darilo (1964) [maj68]	#CapuderAndrej	Darilo		Pesmi				1964-11		november 1964	Ljubljana	Problemi	II/22	974	poezija	nizka	nizka	knjižni jezik	odsotna		odsotna	
96	maj68-0130	Andrej Capuder (1942)	Pesmi: Misel (1964) [maj68]	#CapuderAndrej	Misel		Pesmi				1964-11		november 1964	Ljubljana	Problemi	II/22	975	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
97	maj68-0131	Andrej Capuder (1942)	Pesmi: Svet in jaz (1964) [maj68]	#CapuderAndrej	Svet in jaz		Pesmi				1964-11		november 1964	Ljubljana	Problemi	II/22	975–976	poezija	srednja	nizka	knjižni jezik	odsotna		odsotna	
98	maj68-0132	Franci Zagoričnik (1933)	Sveder (1964) [maj68]	#ZagoričnikFranci	Sveder						1964-11		november 1964	Ljubljana	Problemi	II/22	977–985	poezija	visoka	srednja	knjižni jezik	odsotna		odsotna	
99	maj68-0133	Vita Varl	Dve polovici življenja (1964) [maj68]	#VarlVita	Dve polovici življenja						1964-11		november 1964	Ljubljana	Problemi	II/22	986–990	proza	odsotna	odsotna	knjižni jezik	odsotna		odsotna	
100	maj68-0134	Vladimir Kavčič (1932)	Velika odločitev za majhno stvar (1964) [maj68]	#KavčičVladimir	Velika odločitev za majhno stvar						1964-11		november 1964	Ljubljana	Problemi	II/22	990–1010	proza	srednja	odsotna	knjižni jezik	odsotna		odsotna	Modernističnost se dogaja predvsem na vsebinski oz. pomenski ravni (dehumanizacija posameznika znotraj Ustanove, kafkovska grotesknost opisovanega sveta, tudi nadrealističnost – fantazijski, alogični svet, kjer se prostori in subjekti fluidno spreminjajo, prostor-čas sta izven stvarne logike).
