n	id	author_disp	title_disp	author_refs	title	subtitle	suptitle1	suptitle2	byline	editor	date_from	date_to	date_display	place	monograph	volnum	pages	text_type	modernism	visual	lang_type	nstd_level	foreign_lang	foreign_level	note	
674	maj68-1061	Ivo Svetina (1948)	Uglaševanje pihal na pokopališču (1968) [maj68]	#SvetinaIvo	Uglaševanje pihal na pokopališču						1968-12		december 1968	Ljubljana	Problemi	VI/72	631–632	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	Avtor v kazalu naveden kot član skupine 442.
675	maj68-1062	Ivo Svetina (1948)	Konjski tat (1968) [maj68]	#SvetinaIvo	Konjski tat						1968-12		december 1968	Ljubljana	Problemi	VI/72	632–633	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	Avtor v kazalu naveden kot član skupine 442.
676	maj68-1063	Ivo Svetina (1948)	Pasji rodovnik (1968) [maj68]	#SvetinaIvo	Pasji rodovnik						1968-12		december 1968	Ljubljana	Problemi	VI/72	633–634	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	Avtor v kazalu naveden kot član skupine 442.
677	maj68-1064	Ivo Svetina (1948)	Noč na Turškem / Sramna kuga (1968) [maj68]	#SvetinaIvo	Noč na Turškem	Sramna kuga					1968-12		december 1968	Ljubljana	Problemi	VI/72	636–637	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	Avtor v kazalu naveden kot član skupine 442.
678	maj68-1065	Ivo Svetina (1948)	Romanca, napisana na dan prve internacionale čebelarjev na Spodnjem Gorenjskem (1968) [maj68]	#SvetinaIvo	Romanca, napisana na dan prve internacionale čebelarjev na Spodnjem Gorenjskem						1968-12		december 1968	Ljubljana	Problemi	VI/72	637–638	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	Avtor v kazalu naveden kot član skupine 442.
679	maj68-1066	Ivo Svetina (1948)	Žveplo pod oknom diši (1968) [maj68]	#SvetinaIvo	Žveplo pod oknom diši						1968-12		december 1968	Ljubljana	Problemi	VI/72	638–639	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	Avtor v kazalu naveden kot član skupine 442.
680	maj68-1067	Ivo Svetina (1948)	Gusar Leon in tetka Koretka / ali Noč ima svojo moč (1968) [maj68]	#SvetinaIvo	Gusar Leon in tetka Koretka	ali Noč ima svojo moč					1968-12		december 1968	Ljubljana	Problemi	VI/72	639–640	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	Avtor v kazalu naveden kot član skupine 442.
681	maj68-1068	Ivo Svetina (1948)	Kako je Mižek Figa norice dobil (1968) [maj68]	#SvetinaIvo	Kako je Mižek Figa norice dobil						1968-12		december 1968	Ljubljana	Problemi	VI/72	640–641	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	Avtor v kazalu naveden kot član skupine 442.
682	maj68-1071	Janez Vesel (1798)	Domoljubne elegije / Vojaška (1968) [maj68]	#VeselJanez	Domoljubne elegije	Vojaška					1968-12		december 1968	Ljubljana	Problemi	VI/72	642	poezija	odsotna	odsotna	knjižni jezik	odsotna		odsotna	
683	maj68-1073	Emil Filipčič (1951);Branko Gradišnik (1951)	Kerubini (1972) [maj68]	#FilipčičEmil;#GradišnikBranko	Kerubini				Jožef Paganel		1972-01		januar 1972	Ljubljana	Problemi. Literatura	X/109	1–13	proza	nizka	odsotna	splošni pogovorni jezik	nizka	angleščina	nizka	Prvi dve poglavji romana Kerubini.
684	maj68-1074	Dane Zajc (1929)	Rožengruntar: Jutro (1972) [maj68]	#ZajcDane	Jutro		Rožengruntar				1972-01		januar 1972	Ljubljana	Problemi. Literatura	X/109	13–14	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
685	maj68-1075	Dane Zajc (1929)	Rožengruntar: Poldne (1972) [maj68]	#ZajcDane	Poldne		Rožengruntar				1972-01		januar 1972	Ljubljana	Problemi. Literatura	X/109	14	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
686	maj68-1076	Dane Zajc (1929)	Rožengruntar: Popoldne (1972) [maj68]	#ZajcDane	Popoldne		Rožengruntar				1972-01		januar 1972	Ljubljana	Problemi. Literatura	X/109	15	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
687	maj68-1077	Dane Zajc (1929)	Rožengruntar: Večer (1972) [maj68]	#ZajcDane	Večer		Rožengruntar				1972-01		januar 1972	Ljubljana	Problemi. Literatura	X/109	15–16	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
688	maj68-1078	Dane Zajc (1929)	Rožengruntar: Noč (1972) [maj68]	#ZajcDane	Noč		Rožengruntar				1972-01		januar 1972	Ljubljana	Problemi. Literatura	X/109	16	poezija	srednja	odsotna	splošni pogovorni jezik	nizka		odsotna	
689	maj68-1079	Dane Zajc (1929)	Rožengruntar: Čas (1972) [maj68]	#ZajcDane	Čas		Rožengruntar				1972-01		januar 1972	Ljubljana	Problemi. Literatura	X/109	17	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
690	maj68-1081	Rudi Šeligo (1935)	Poklici čakajo: 5. Čudna ura (1972) [maj68]	#ŠeligoRudi	5. Čudna ura		Poklici čakajo				1972-01		januar 1972	Ljubljana	Problemi. Literatura	X/109	20–31	proza	srednja	odsotna	splošni pogovorni jezik	nizka		odsotna	
691	maj68-1085	Tomaž Šalamun (1941)	Božične pesmi: Andraž (1972) [maj68]	#ŠalamunTomaž	Andraž		Božične pesmi				1972-01		januar 1972	Ljubljana	Problemi. Literatura	X/109	45	poezija	visoka	odsotna	knjižni jezik	odsotna		odsotna	Naslovi pesmi so v reviji napisani z malimi začetnicami.
692	maj68-1086	Tomaž Šalamun (1941)	Božične pesmi: Maruška (1972) [maj68]	#ŠalamunTomaž	Maruška		Božične pesmi				1972-01		januar 1972	Ljubljana	Problemi. Literatura	X/109	45	poezija	visoka	odsotna	knjižni jezik	odsotna		odsotna	Naslovi pesmi so v reviji napisani z malimi začetnicami.
693	maj68-1087	Tomaž Šalamun (1941)	Božične pesmi: Usoda Nemcev (1972) [maj68]	#ŠalamunTomaž	Usoda Nemcev		Božične pesmi				1972-01		januar 1972	Ljubljana	Problemi. Literatura	X/109	45–46	poezija	visoka	odsotna	splošni pogovorni jezik	nizka		odsotna	Naslovi pesmi so v reviji napisani z malimi začetnicami.
694	maj68-1088	Tomaž Šalamun (1941)	Božične pesmi: Polja (1972) [maj68]	#ŠalamunTomaž	Polja		Božične pesmi				1972-01		januar 1972	Ljubljana	Problemi. Literatura	X/109	46	poezija	visoka	odsotna	knjižni jezik	odsotna		odsotna	Naslovi pesmi so v reviji napisani z malimi začetnicami.
695	maj68-1089	Tomaž Šalamun (1941)	Božične pesmi: Propagandna pesem proti sekanju delov telesa (1972) [maj68]	#ŠalamunTomaž	Propagandna pesem proti sekanju delov telesa		Božične pesmi				1972-01		januar 1972	Ljubljana	Problemi. Literatura	X/109	46–47	poezija	visoka	odsotna	knjižni jezik	odsotna		odsotna	Naslovi pesmi so v reviji napisani z malimi začetnicami.
696	maj68-1090	Tomaž Šalamun (1941)	Božične pesmi: Bik (1972) [maj68]	#ŠalamunTomaž	Bik		Božične pesmi				1972-01		januar 1972	Ljubljana	Problemi. Literatura	X/109	47	poezija	visoka	odsotna	knjižni jezik	odsotna		odsotna	Naslovi pesmi so v reviji napisani z malimi začetnicami.
697	maj68-1091	Tomaž Šalamun (1941)	Božične pesmi: Alžir (1972) [maj68]	#ŠalamunTomaž	Alžir		Božične pesmi				1972-01		januar 1972	Ljubljana	Problemi. Literatura	X/109	47	poezija	visoka	odsotna	knjižni jezik	odsotna		odsotna	Naslovi pesmi so v reviji napisani z malimi začetnicami.
698	maj68-1092	Tomaž Šalamun (1941)	Božične pesmi: Barka (1972) [maj68]	#ŠalamunTomaž	Barka		Božične pesmi				1972-01		januar 1972	Ljubljana	Problemi. Literatura	X/109	47–48	poezija	visoka	odsotna	knjižni jezik	odsotna		odsotna	Naslovi pesmi so v reviji napisani z malimi začetnicami.
699	maj68-1093	Tomaž Šalamun (1941)	Božične pesmi: Bob Perelman (1972) [maj68]	#ŠalamunTomaž	Bob Perelman		Božične pesmi				1972-01		januar 1972	Ljubljana	Problemi. Literatura	X/109	48–49	poezija	visoka	odsotna	knjižni jezik	odsotna		odsotna	Naslovi pesmi so v reviji napisani z malimi začetnicami.
700	maj68-1094	Tomaž Šalamun (1941)	Božične pesmi: Yucatan (1972) [maj68]	#ŠalamunTomaž	Yucatan		Božične pesmi				1972-01		januar 1972	Ljubljana	Problemi. Literatura	X/109	49	poezija	visoka	odsotna	knjižni jezik	odsotna		odsotna	Naslovi pesmi so v reviji napisani z malimi začetnicami.
701	maj68-1095	Ivo Svetina (1948)	Gora morskih deklic (1972) [maj68]	#SvetinaIvo	Gora morskih deklic						1972-01		januar 1972	Ljubljana	Problemi. Literatura	X/109	50–57	poezija	visoka	odsotna	knjižni jezik	odsotna		odsotna	"Pesem iz zbirke Heliks in Tibija; opazna je prozaizacija pesniškega jezika."
702	maj68-1096	Andrej Medved (1947)	Lux aeterna (1972) [maj68]	#MedvedAndrej	Lux aeterna				Andrej M. B. Medved		1972-01		januar 1972	Ljubljana	Problemi. Literatura	X/109	58–62	poezija	visoka	odsotna	knjižni jezik	odsotna	latinščina	nizka	Začne se s citatom Williama Blakea.
703	maj68-1097	Tomaž Kralj (1951)	Vrata so stena in misel luči (1972) [maj68]	#KraljTomaž	Vrata so stena in misel luči						1972-01		januar 1972	Ljubljana	Problemi. Literatura	X/109	63–66	poezija	visoka	odsotna	splošni pogovorni jezik	nizka		odsotna	
704	maj68-1120	Polona Hanžek (1951)	[Brez naslova] (1972) [maj68]	#HanžekPolona							1972-01		januar 1972	Ljubljana	Problemi. Literatura	X/109	82	poezija	visoka	visoka	knjižni jezik	odsotna		odsotna	Vizualna poezija, nekakšna slika.
705	maj68-1121	Pavel Lužan (1946)	[Brez naslova] (1972) [maj68]	#LužanPavel							1972-01		januar 1972	Ljubljana	Problemi. Literatura	X/109	83	poezija	visoka	visoka	knjižni jezik	odsotna		odsotna	Vizualna poezija, sestavljena iz črk.
706	maj68-1124	Ivan Volarič (1948)	[Brez naslova] (1972) [maj68]	#VolaričIvan							1972-01		januar 1972	Ljubljana	Problemi. Literatura	X/109	86	poezija	visoka	visoka	knjižni jezik	odsotna		odsotna	
707	maj68-1127	Tomaž Kralj (1951)	[Brez naslova] (1972) [maj68]	#KraljTomaž							1972-01		januar 1972	Ljubljana	Problemi. Literatura	X/109	ni str.	poezija	visoka	visoka	knjižni jezik	odsotna		odsotna	Modulacija črk s t d o n e.
708	maj68-1128	Matjaž Hanžek (1949)	[Brez naslova] (1972) [maj68]	#HanžekMatjaž							1972-01		januar 1972	Ljubljana	Problemi. Literatura	X/109	ni str.	poezija	visoka	visoka	knjižni jezik	odsotna		odsotna	
709	maj68-1129	Branko Novak (1938)	[Brez naslova] (1972) [maj68]	#NovakBranko							1972-01		januar 1972	Ljubljana	Problemi. Literatura	X/109	89	poezija	visoka	visoka	knjižni jezik	odsotna		odsotna	
710	maj68-1133	Ivo Svetina (1948)	Švabski špegli / Pedagoški listki (1972) [maj68]	#SvetinaIvo	Švabski špegli	Pedagoški listki					1972-03	1972-04	marec–april 1972	Ljubljana	Problemi. Literatura	X/111–112	1–2	proza	visoka	odsotna	splošni pogovorni jezik	nizka		odsotna	
711	maj68-1136	Andrej Medved (1947)	Ogenj, ogenj pada!: Kača, sipa-rakovica. Riba. (1972) [maj68]	#MedvedAndrej	Kača, sipa-rakovica. Riba.		Ogenj, ogenj pada!				1972-03	1972-04	marec–april 1972	Ljubljana	Problemi. Literatura	X/111–112	7	poezija	visoka	odsotna	knjižni jezik	odsotna		odsotna	
712	maj68-1137	Andrej Medved (1947)	Knjiga smrti: Videnje (1972) [maj68]	#MedvedAndrej	Videnje		Knjiga smrti				1972-03	1972-04	marec–april 1972	Ljubljana	Problemi. Literatura	X/111–112	7	poezija	visoka	odsotna	knjižni jezik	odsotna		odsotna	
713	maj68-1138	Andrej Medved (1947)	Knjiga smrti: Oko ribe (1972) [maj68]	#MedvedAndrej	Oko ribe		Knjiga smrti				1972-03	1972-04	marec–april 1972	Ljubljana	Problemi. Literatura	X/111–112	7	poezija	visoka	odsotna	knjižni jezik	odsotna		odsotna	
714	maj68-1139	Andrej Medved (1947)	Knjiga smrti: Krč (1972) [maj68]	#MedvedAndrej	Krč		Knjiga smrti				1972-03	1972-04	marec–april 1972	Ljubljana	Problemi. Literatura	X/111–112	8	poezija	visoka	odsotna	knjižni jezik	odsotna		odsotna	
715	maj68-1140	Andrej Medved (1947)	Knjiga smrti: Odprtje (1972) [maj68]	#MedvedAndrej	Odprtje		Knjiga smrti				1972-03	1972-04	marec–april 1972	Ljubljana	Problemi. Literatura	X/111–112	8	poezija	visoka	odsotna	knjižni jezik	odsotna		odsotna	
716	maj68-1141	Andrej Medved (1947)	Knjiga smrti: Jaz (1972) [maj68]	#MedvedAndrej	Jaz		Knjiga smrti				1972-03	1972-04	marec–april 1972	Ljubljana	Problemi. Literatura	X/111–112	9	poezija	visoka	odsotna	knjižni jezik	odsotna		odsotna	
717	maj68-1142	Andrej Medved (1947)	Knjiga smrti: V podkoži (1972) [maj68]	#MedvedAndrej	V podkoži		Knjiga smrti				1972-03	1972-04	marec–april 1972	Ljubljana	Problemi. Literatura	X/111–112	9	poezija	visoka	odsotna	knjižni jezik	odsotna		odsotna	
718	maj68-1145	Andrej Medved (1947)	Knjiga pesmi: Vse je v koncu (1972) [maj68]	#MedvedAndrej	Vse je v koncu		Knjiga pesmi				1972-03	1972-04	marec–april 1972	Ljubljana	Problemi. Literatura	X/111–112	10	poezija	visoka	odsotna	knjižni jezik	odsotna		odsotna	
719	maj68-1146	Andrej Medved (1947)	Knjiga pesmi: Silno se upira črni ptič (1972) [maj68]	#MedvedAndrej	Silno se upira črni ptič		Knjiga pesmi				1972-03	1972-04	marec–april 1972	Ljubljana	Problemi. Literatura	X/111–112	10	poezija	visoka	odsotna	knjižni jezik	odsotna		odsotna	
720	maj68-1147	Andrej Medved (1947)	Knjiga pesmi: Nemi obroč noža (1972) [maj68]	#MedvedAndrej	Nemi obroč noža		Knjiga pesmi				1972-03	1972-04	marec–april 1972	Ljubljana	Problemi. Literatura	X/111–112	11	poezija	visoka	odsotna	knjižni jezik	odsotna		odsotna	
721	maj68-1148	Andrej Medved (1947)	Knjiga pesmi: Temni sedajo (1972) [maj68]	#MedvedAndrej	Temni sedajo		Knjiga pesmi				1972-03	1972-04	marec–april 1972	Ljubljana	Problemi. Literatura	X/111–112	11	poezija	visoka	odsotna	knjižni jezik	odsotna		odsotna	
722	maj68-1149	Andrej Medved (1947)	Knjiga pesmi: Na čelu (1972) [maj68]	#MedvedAndrej	Na čelu		Knjiga pesmi				1972-03	1972-04	marec–april 1972	Ljubljana	Problemi. Literatura	X/111–112	11	poezija	visoka	odsotna	knjižni jezik	odsotna		odsotna	
723	maj68-1158	Tomaž Šalamun (1941)	Roža, mapa kozmogonije, pisma (1972) [maj68]	#ŠalamunTomaž	Roža, mapa kozmogonije, pisma						1972-03	1972-04	marec–april 1972	Ljubljana	Problemi. Literatura	X/111–112	31–38	poezija	visoka	odsotna	splošni pogovorni jezik	nizka	angleščina	nizka	
724	maj68-1162	Dušan Jovanović (1939)	Življenje podeželskih plejbojev po 2. svetovni vojni ali Tuje hočemo - svojega ne damo / Commedia dell' arte: Po predlogi N. N.: Trije rogonosci (1972) [maj68]	#JovanovićDušan	Življenje podeželskih plejbojev po 2. svetovni vojni ali Tuje hočemo - svojega ne damo	Commedia dell' arte: Po predlogi N. N.: Trije rogonosci			Jovanovič Dušan		1972-03	1972-04	marec–april 1972	Ljubljana	Problemi. Literatura	X/111–112	71–92	drama	nizka	odsotna	splošni pogovorni jezik	nizka	angleščina	nizka	
725	maj68-1165	Emil Filipčič (1951);Branko Gradišnik (1951)	Kerubini / Tretje poglavje (1972) [maj68]	#FilipčičEmil;#GradišnikBranko	Kerubini	Tretje poglavje			Jožef Paganel		1972-03	1972-04	marec–april 1972	Ljubljana	Problemi. Literatura	X/111–112	113–128	proza	nizka	odsotna	knjižni jezik	odsotna		odsotna	
726	maj68-1174	Ivan Volarič (1948)	Vizualna poezija:: Peščena ura (1972) [maj68]	#VolaričIvan	Peščena ura			Vizualna poezija			1972-03	1972-04	marec–april 1972	Ljubljana	Problemi. Literatura	X/111–112	154–155	poezija	visoka	visoka	knjižni jezik	odsotna		odsotna	
727	maj68-1178	France Prešeren (1800)	Nekatere Prešernove še neobjavljene (1972) [maj68]	#PrešerenFrance	Nekatere Prešernove še neobjavljene					V.S.	1972-03	1972-04	marec–april 1972	Ljubljana	Problemi. Literatura	X/111–112	179	poezija	odsotna	odsotna	splošni pogovorni jezik	nizka		odsotna	Avtor prispevka V. S. navaja fragmente Prešernove še neobjavljene poezije.
728	maj68-1183	Niko Grafenauer (1940)	Štukature: 1 (1972) [maj68]	#GrafenauerNiko	1		Štukature				1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	7	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
729	maj68-1184	Niko Grafenauer (1940)	Štukature: 2 (1972) [maj68]	#GrafenauerNiko	2		Štukature				1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	7	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
730	maj68-1185	Niko Grafenauer (1940)	Štukature: 3 (1972) [maj68]	#GrafenauerNiko	3		Štukature				1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	7	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
731	maj68-1186	Niko Grafenauer (1940)	Štukature: 4 (1972) [maj68]	#GrafenauerNiko	4		Štukature				1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	7	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
732	maj68-1187	Niko Grafenauer (1940)	Štukature: 5 (1972) [maj68]	#GrafenauerNiko	5		Štukature				1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	7	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
733	maj68-1188	Niko Grafenauer (1940)	Štukature: 6 (1972) [maj68]	#GrafenauerNiko	6		Štukature				1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	7	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
734	maj68-1192	Dimitrij Rupel (1946)	Snažni planeti (1972) [maj68]	#RupelDimitrij	Snažni planeti						1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	36–51	proza	srednja	odsotna	knjižni jezik	odsotna		odsotna	
735	maj68-1194	Dane Zajc (1929)	Grk, Grk (1972) [maj68]	#ZajcDane	Grk, Grk						1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	55	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
736	maj68-1195	Dane Zajc (1929)	Glas človekov (1972) [maj68]	#ZajcDane	Glas človekov						1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	56	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
737	maj68-1196	Dane Zajc (1929)	Sledi (1972) [maj68]	#ZajcDane	Sledi						1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	57	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
738	maj68-1197	Dane Zajc (1929)	Tisti s krušnjakom (1972) [maj68]	#ZajcDane	Tisti s krušnjakom						1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	58	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
739	maj68-1198	Tomaž Šalamun (1941)	O, jutro (1972) [maj68]	#ŠalamunTomaž	O, jutro						1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	59–60	poezija	visoka	odsotna	splošni pogovorni jezik	nizka		odsotna	
740	maj68-1199	Tomaž Šalamun (1941)	Signorina Pesaro (1972) [maj68]	#ŠalamunTomaž	Signorina Pesaro						1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	61	poezija	srednja	odsotna	splošni pogovorni jezik	nizka		odsotna	
741	maj68-1200	Tomaž Šalamun (1941)	Arthur (1972) [maj68]	#ŠalamunTomaž	Arthur						1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	62	poezija	srednja	odsotna	knjižni jezik	odsotna	angleščina	nizka	
742	maj68-1201	Tomaž Šalamun (1941)	Poročilo (1972) [maj68]	#ŠalamunTomaž	Poročilo						1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	63	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
743	maj68-1202	Tomaž Šalamun (1941)	Sanja (1972) [maj68]	#ŠalamunTomaž	Sanja						1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	63	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
744	maj68-1203	Tomaž Šalamun (1941)	Larry (1972) [maj68]	#ŠalamunTomaž	Larry						1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	64	poezija	visoka	odsotna	splošni pogovorni jezik	nizka	angleščina	nizka	
745	maj68-1204	Tomaž Šalamun (1941)	Konj (1972) [maj68]	#ŠalamunTomaž	Konj						1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	65	poezija	srednja	odsotna	knjižni jezik	odsotna	angleščina	nizka	
746	maj68-1205	Tomaž Šalamun (1941)	Borges (1972) [maj68]	#ŠalamunTomaž	Borges						1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	65	poezija	srednja	odsotna	knjižni jezik	odsotna	angleščina	nizka	
747	maj68-1206	Andrej Medved (1947)	Videnja, pesmi (1972) [maj68]	#MedvedAndrej	Videnja, pesmi						1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	66–70	poezija	visoka	odsotna	knjižni jezik	odsotna		odsotna	Meje med pesmimi niso razvidne.
748	maj68-1208	Veno Taufer (1933)	Telemahovi komentarji: Mešalnik (1972) [maj68]	#TauferVeno	Mešalnik		Telemahovi komentarji				1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	76	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
749	maj68-1209	Veno Taufer (1933)	Telemahovi komentarji: Zeleno (1972) [maj68]	#TauferVeno	Zeleno		Telemahovi komentarji				1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	76	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
750	maj68-1210	Veno Taufer (1933)	Telemahovi komentarji: Valovi (1972) [maj68]	#TauferVeno	Valovi		Telemahovi komentarji				1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	77	poezija	visoka	nizka	knjižni jezik	odsotna		odsotna	
751	maj68-1211	Veno Taufer (1933)	Telemahovi komentarji: Na svetlo (1972) [maj68]	#TauferVeno	Na svetlo		Telemahovi komentarji				1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	77	poezija	visoka	nizka	knjižni jezik	odsotna		odsotna	
752	maj68-1212	Veno Taufer (1933)	Telemahovi komentarji: Tišina (1972) [maj68]	#TauferVeno	Tišina		Telemahovi komentarji				1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	78	poezija	visoka	nizka	knjižni jezik	odsotna		odsotna	
753	maj68-1213	Veno Taufer (1933)	Telemahovi komentarji: Blodeč po otoku (1972) [maj68]	#TauferVeno	Blodeč po otoku		Telemahovi komentarji				1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	78	poezija	visoka	nizka	knjižni jezik	odsotna		odsotna	
754	maj68-1214	Veno Taufer (1933)	Telemahovi komentarji: Nasproti štrlečim otokom (1972) [maj68]	#TauferVeno	Nasproti štrlečim otokom		Telemahovi komentarji				1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	79	poezija	srednja	odsotna	knjižni jezik	odsotna		odsotna	
755	maj68-1215	Kajetan Kovič (1931)	Pravila igre / Poetika (1972) [maj68]	#KovičKajetan	Pravila igre	Poetika					1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	80	poezija	nizka	odsotna	knjižni jezik	odsotna		odsotna	
756	maj68-1259	Polona Hanžek (1951)	[Brez naslova] (1972) [maj68]	#HanžekPolona							1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	167	poezija	visoka	visoka	knjižni jezik	odsotna		odsotna	
757	maj68-1260	Polona Hanžek (1951)	[Brez naslova] (1972) [maj68]	#HanžekPolona							1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	168	poezija	visoka	visoka	knjižni jezik	odsotna		odsotna	
758	maj68-1261	Ifigenija Zagoričnik (1953)	[Brez naslova] (1972) [maj68]	#ZagoričnikIfigenija							1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	169	poezija	visoka	visoka	knjižni jezik	odsotna		odsotna	
759	maj68-1262	Ifigenija Zagoričnik (1953)	[Brez naslova] (1972) [maj68]	#ZagoričnikIfigenija							1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	170	poezija	visoka	visoka	knjižni jezik	odsotna		odsotna	
760	maj68-1263	Ifigenija Zagoričnik (1953)	[Brez naslova] (1972) [maj68]	#ZagoričnikIfigenija							1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	171	poezija	visoka	visoka	knjižni jezik	odsotna		odsotna	
761	maj68-1264	Pavel Lužan (1946)	[Brez naslova] (1972) [maj68]	#LužanPavel							1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	172	poezija	visoka	visoka	knjižni jezik	odsotna		odsotna	
762	maj68-1265	Pavel Lužan (1946)	[Brez naslova] (1972) [maj68]	#LužanPavel							1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	173	poezija	visoka	visoka	knjižni jezik	odsotna		odsotna	
763	maj68-1266	Ivan Volarič (1948)	[Brez naslova] (1972) [maj68]	#VolaričIvan							1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	174	poezija	visoka	visoka	knjižni jezik	odsotna		odsotna	
764	maj68-1267	Branko Novak (1938)	[Brez naslova] (1972) [maj68]	#NovakBranko							1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	175	poezija	visoka	visoka	knjižni jezik	odsotna		odsotna	
765	maj68-1268	Marjan Pungartnik (1948)	[Brez naslova] (1972) [maj68]	#PungartnikMarjan							1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	176	poezija	visoka	visoka	knjižni jezik	odsotna		odsotna	
766	maj68-1269	Franci Zagoričnik (1933)	Political poem (1972) [maj68]	#ZagoričnikFranci	Political poem						1972-10	1972-12	oktober–december 1972	Ljubljana	Problemi. Literatura	X/118–119–120	177	poezija	visoka	visoka	knjižni jezik	odsotna		odsotna	
